Game_Title,All_Review_Cat,Release_Date,Game_Developer,Game_Publisher,Player_Type,Has_Violence,Price_Original_Before_Discount,Discount_Percentage,Price_Discount,Price_Original,price_subscription,Genre_List,OS_List,Memory,Storage,Hard_Drive,VR_Support,Purchase_All,Purchase_Steam,Purchase_Other,Review_All,Review_Positive,Review_Negative
State of Decay 2 Juggernaut Edition,Mixed,"13 Mar, 2020",Undead Labs,Xbox Game Studios,Single-player,None,None,None,None,1099,None,"['Action', 'RPG', 'Simulation']",['windows'],['8 GB'],['30 GB'],[],None,8121,7206,915,8121,5512,2609
KovaaK 20 The Meta,Very Positive,"3 Apr, 2018",The Meta,The Meta,Single-player,None,None,None,None,349,None,"['Action', 'Indie', 'Simulation']",['windows'],['4 GB'],['700 MB'],[],None,7035,6656,379,7035,6146,889
Hunt Showdown,Very Positive,"27 Aug, 2019",Crytek,Crytek,Online PvP,violence/bad_language,None,None,None,1499,None,['Action'],['windows'],['8 GB'],['20 GB'],[],None,61101,44582,16519,61101,48759,12342
Dead by Daylight,Very Positive,"14 Jun, 2016",Behaviour Interactive Inc.,Behaviour Interactive Inc.,Online PvP,violence/bad_language,None,None,None,565,None,['Action'],['windows'],['8 GB'],['25 GB'],[],None,295512,216195,79317,295512,236302,59210
Mortal Kombat11,Mostly Positive,"23 Apr, 2019",NetherRealm Studios,Warner Bros Interactive Entertainment,Single-player,violence/bad_language,None,None,None,1349,None,['Action'],['windows'],['8 GB'],[],[],None,27512,18694,8818,27512,21942,5570
EARTH DEFENSE FORCE 5,Very Positive,"11 Jul, 2019",SANDLOT,D3 PUBLISHER,Single-player,None,None,None,None,1299,None,['Action'],['windows'],['8 GB'],['30 GB'],[],None,3201,2697,504,3201,3030,171
Devil May Cry 5,Very Positive,"8 Mar, 2019","CAPCOM Co., Ltd.","CAPCOM Co., Ltd.",Single-player,violence/bad_language,None,None,None,10231,None,['Action'],['windows'],['8 GB'],['35 GB'],[],None,41841,22609,19232,41841,39668,2173
Wolcen Lords of Mayhem,Mixed,"13 Feb, 2020",WOLCEN Studio,WOLCEN Studio,Single-player,None,None,None,None,899,None,"['Action', 'Adventure', 'Indie', 'RPG']",['windows'],['8 GB'],['18 GB'],[],None,54038,49497,4541,54038,30468,23570
Biped,Very Positive,"27 Mar, 2020",NEXT Studios,NEXT Studios,Single-player,None,None,None,None,459,None,"['Action', 'Adventure', 'Casual', 'Strategy']",['windows'],['4 GB'],['8 GB'],[],None,1179,1040,139,1179,1076,103
Path of Exile,Very Positive,"23 Oct, 2013",Grinding Gear Games,Grinding Gear Games,Single-player,None,None,None,None,Free to Play,None,"['Action', 'Adventure', 'Free to Play', 'Indie', 'Massively Multiplayer', 'RPG']",['windows'],['4 GB'],['32 GB'],[],None,128894,1133,127761,128894,120241,8653
Bleeding Edge,Mostly Positive,"24 Mar, 2020",Ninja Theory,Ninja Theory,Online PvP,violence/bad_language,None,None,None,699,None,['Action'],['windows'],[' 8 GB RAM'],[' 15 GB available space'],[],None,1209,1083,126,1209,884,325
Rust,Very Positive,"8 Feb, 2018",Facepunch Studios,Facepunch Studios,MMO,None,None,None,None,899,None,"['Action', 'Adventure', 'Indie', 'Massively Multiplayer', 'RPG']","['windows', 'mac']","['10 GB', '8 GB']","['20 GB', '20 GB']",[],None,427768,326546,101222,427768,356228,71540
Black Mesa,Overwhelmingly Positive,"6 Mar, 2020",Crowbar Collective,Crowbar Collective,Single-player,None,None,None,None,529,None,"['Action', 'Adventure', 'Indie']","['linux', 'windows']","['6 GB', '4 GB']","['20 GB', '20 GB']",[],None,36235,33143,3092,36235,34648,1587
Bright Memory,Very Positive,"25 Mar, 2020",FYQD-Studio,FYQD-Studio,Single-player,None,None,None,None,349,None,"['Action', 'Adventure', 'Indie']",['windows'],['6 GB'],['4 GB'],[],None,18611,17174,1437,18611,17236,1375
Call of Duty Black Ops III,Mostly Positive,"6 Nov, 2015",Treyarch,Activision,Single-player,violence/bad_language,None,None,None,3999,None,"['Action', 'Adventure']",['windows'],['6 GB'],['100 GB'],[],None,74395,30843,43552,74395,50655,23740
